750000.062,750000.062,750000.062,750000.062,750000.062,463332.094,722974.625,750000.062,0.035,0.993,-0.058,0.244,-0.153,1.587,73.333,36.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,456645.625,708058.312,750000.062,0.034,0.992,-0.058,0.122,-0.214,1.556,73.333,37.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,450124.281,693709.938,750000.062,0.034,0.994,-0.061,0.122,-0.183,1.495,73.333,38.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,443578.000,679509.250,742392.125,0.034,0.994,-0.058,0.183,-0.244,1.465,73.333,39.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,437406.938,665933.062,728299.688,0.036,0.995,-0.057,0.122,-0.244,1.373,73.333,40.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,431968.312,653583.750,715326.375,0.034,0.995,-0.057,0.000,-0.305,1.373,73.333,41.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,427076.219,642306.750,703117.188,0.035,0.992,-0.057,-0.031,-0.336,1.251,73.333,42.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,422241.562,631382.812,691222.625,0.035,0.991,-0.059,-0.214,-0.488,1.312,73.333,43.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,417265.594,620387.250,679593.750,0.034,0.995,-0.062,-0.214,-0.488,1.312,73.333,44.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,412549.562,609791.188,668646.500,0.034,0.995,-0.062,-0.183,-0.488,1.343,73.333,45.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,408456.781,600206.312,658611.250,0.034,0.994,-0.060,-0.153,-0.458,1.343,73.333,46.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,404806.219,591501.750,649151.938,0.035,0.996,-0.059,-0.244,-0.488,1.251,73.333,47.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,401146.688,583003.188,639848.062,0.037,0.995,-0.057,-0.244,-0.519,1.221,73.333,48.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,397292.719,574311.312,630667.125,0.037,0.995,-0.059,-0.336,-0.610,1.251,73.333,49.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,393613.875,565871.438,622010.125,0.038,0.997,-0.057,-0.427,-0.580,1.282,73.333,50.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,390466.031,558275.438,614096.625,0.039,0.996,-0.061,-0.488,-0.519,1.404,73.333,51.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,387713.656,551439.625,606646.875,0.040,0.997,-0.063,-0.397,-0.458,1.404,73.333,52.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,384912.250,544723.562,599256.812,0.041,0.998,-0.063,-0.458,-0.427,1.404,73.333,53.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,381870.000,537728.875,591881.125,0.040,0.999,-0.059,-0.366,-0.244,1.404,73.333,54.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,378955.781,530887.375,584919.188,0.040,0.998,-0.059,-0.458,-0.244,1.495,73.333,55.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,376515.875,524780.875,578596.688,0.039,1.000,-0.060,-0.580,-0.214,1.465,73.333,56.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,374424.625,519347.469,572655.625,0.038,1.000,-0.057,-0.702,-0.183,1.404,73.333,57.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,372252.125,513963.906,566695.625,0.037,1.001,-0.059,-0.793,-0.305,1.434,73.333,58.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,369825.000,508257.594,560691.375,0.038,1.001,-0.055,-0.946,-0.183,1.526,73.333,59.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,367478.875,502631.219,555021.188,0.036,0.999,-0.057,-0.977,-0.153,1.526,73.333,60.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,365572.531,497670.094,549920.812,0.037,1.000,-0.055,-0.977,-0.183,1.556,73.333,61.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,363985.125,493313.562,545135.562,0.037,1.000,-0.055,-0.916,-0.275,1.465,73.333,62.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,362298.469,488963.750,540282.438,0.034,0.999,-0.058,-1.068,-0.305,1.465,73.333,63.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,360332.406,484248.250,535329.562,0.035,0.999,-0.057,-1.160,-0.366,1.404,73.333,64.000,1.000
750000.062,747917.312,750000.062,750000.062,750000.062,358420.781,479556.000,530652.812,0.035,0.999,-0.053,-1.251,-0.366,1.465,73.333,65.000,1.000
750000.062,742057.000,750000.062,750000.062,750000.062,356912.125,475464.812,526488.938,0.034,0.999,-0.055,-1.404,-0.488,1.526,73.333,66.000,1.000
750000.062,736919.438,750000.062,750000.062,750000.062,355699.406,471926.344,522591.781,0.034,1.001,-0.055,-1.495,-0.427,1.495,73.333,67.000,1.000
750000.062,731877.062,750000.062,750000.062,750000.062,354381.469,468375.812,518599.938,0.034,1.001,-0.056,-1.587,-0.641,1.556,73.333,68.000,1.000
750000.062,726441.625,750000.062,750000.062,750000.062,352765.344,464424.375,514462.438,0.034,1.000,-0.055,-1.587,-0.549,1.495,73.333,69.000,1.000
750000.062,721087.250,750000.062,750000.062,750000.062,351173.562,460441.750,510541.750,0.034,1.000,-0.054,-1.587,-0.519,1.495,73.333,70.000,1.000
750000.062,716422.500,750000.062,750000.062,750000.062,349961.094,457016.219,507091.469,0.034,0.999,-0.055,-1.587,-0.641,1.404,73.333,71.000,1.000
748491.500,712414.500,749198.062,749221.812,748866.188,349032.688,454119.875,503883.969,0.034,1.000,-0.055,-1.678,-0.732,1.495,73.333,72.000,1.000
746579.562,708454.250,747289.375,747313.000,746958.500,348000.688,451198.594,500563.938,0.036,0.997,-0.053,-1.617,-0.702,1.465,73.333,73.000,1.000
744692.062,704031.188,745405.875,745429.125,745075.438,346664.406,447855.125,497068.406,0.035,0.996,-0.054,-1.587,-0.763,1.434,73.333,74.000,1.000
742895.875,699488.938,743614.312,743637.125,743284.062,345341.094,444459.375,493766.250,0.034,0.998,-0.054,-1.617,-0.885,1.526,73.333,75.000,1.000
741242.562,695495.938,741965.625,741988.375,741636.000,344381.750,441588.062,490907.094,0.032,0.997,-0.055,-1.556,-0.977,1.556,73.333,76.000,1.000
739692.062,692139.750,740418.625,740441.000,740089.438,343693.938,439220.125,488266.906,0.033,0.997,-0.054,-1.526,-0.977,1.556,73.333,77.000,1.000
738166.188,688812.562,738896.312,738918.688,738567.812,342886.500,436797.000,485481.969,0.035,0.997,-0.050,-1.373,-0.977,1.495,73.333,78.000,1.000
736651.062,685012.875,737385.500,737408.688,737058.312,341774.094,433949.031,482513.469,0.036,0.996,-0.050,-1.526,-0.946,1.587,73.333,79.000,1.000
735215.312,681066.438,735955.375,735978.688,735628.312,340666.188,431033.375,479717.000,0.036,0.997,-0.051,-1.587,-0.946,1.495,73.333,80.000,1.000
733900.000,677641.438,734645.438,734667.875,734318.688,339893.781,428596.406,477323.656,0.035,0.995,-0.052,-1.526,-1.160,1.556,73.333,81.000,1.000
732667.688,674818.625,733416.938,733439.375,733090.312,339378.625,426635.531,475126.750,0.036,0.995,-0.053,-1.404,-1.129,1.648,73.333,82.000,1.000
731451.062,672016.375,732204.375,732226.625,731877.938,338752.156,424625.406,472786.625,0.037,0.995,-0.055,-1.465,-1.129,1.617,73.333,83.000,1.000
730236.000,668744.625,730994.875,731016.812,730668.625,337824.625,422190.406,470252.219,0.033,0.995,-0.053,-1.373,-1.129,1.678,73.333,84.000,1.000
729080.250,665296.062,729845.625,729868.062,729519.688,336872.188,419646.344,467850.719,0.035,0.997,-0.053,-1.312,-1.160,1.617,73.333,85.000,1.000
728033.250,662334.438,728804.062,728826.375,728478.812,336252.406,417564.219,465839.438,0.036,0.996,-0.053,-1.221,-1.068,1.617,73.333,86.000,1.000
727059.250,659953.188,727834.250,727856.688,727509.625,335889.781,415949.000,464016.969,0.036,0.995,-0.052,-1.160,-1.099,1.678,73.333,87.000,1.000
726087.438,657583.000,726867.438,726889.750,726542.750,335405.469,414272.625,462029.438,0.035,0.998,-0.052,-1.129,-1.160,1.678,73.333,88.000,1.000
725103.438,654731.250,725890.750,725913.250,725566.562,334608.219,412153.594,459823.500,0.035,0.996,-0.049,-1.038,-1.160,1.709,73.333,89.000,1.000
724167.438,651675.938,724963.312,724985.500,724638.750,333779.344,409909.656,457735.594,0.035,0.998,-0.050,-0.854,-1.160,1.709,73.333,90.000,1.000
723331.375,649089.938,724135.125,724156.750,723810.312,333273.906,408110.781,456028.625,0.035,0.998,-0.051,-0.885,-1.221,1.770,73.333,91.000,1.000
722564.250,647084.938,723374.188,723396.000,723049.812,333030.625,406776.812,454509.250,0.036,0.999,-0.049,-0.824,-1.251,1.678,73.333,92.000,1.000
721788.562,645083.000,722606.250,722628.625,722282.375,332668.906,405378.219,452815.594,0.037,0.998,-0.050,-0.824,-1.282,1.892,73.333,93.000,1.000
720949.125,642563.250,721812.000,721834.312,721488.312,331977.438,403517.125,450880.844,0.035,0.997,-0.051,-0.763,-1.221,1.770,73.333,94.000,1.000
719404.312,639832.125,721060.062,721081.875,720735.500,331248.312,401524.062,449054.875,0.035,0.996,-0.048,-0.732,-1.190,1.831,73.333,95.000,1.000
716753.500,637569.125,720404.188,720425.750,720078.625,330845.875,399970.719,447606.125,0.036,0.999,-0.050,-0.763,-1.251,1.740,73.333,96.000,1.000
714305.562,635848.625,719801.375,719823.125,719475.500,330683.719,398856.250,446322.875,0.035,0.997,-0.049,-0.793,-1.343,1.709,73.333,97.000,1.000
711797.062,634130.562,719188.250,719209.688,718862.000,330404.562,397676.812,444860.812,0.036,0.996,-0.048,-0.641,-1.251,1.617,73.333,98.000,1.000
708694.250,631918.875,718547.375,718568.938,718221.062,329812.875,396048.688,443163.688,0.039,0.997,-0.052,-0.488,-1.282,1.617,73.333,99.000,1.000
705419.062,629468.500,717939.938,717961.875,717613.875,329169.969,394262.781,441556.844,0.040,0.999,-0.049,-0.458,-1.221,1.648,73.333,100.000,1.000
702758.438,627434.875,717413.438,717435.625,717087.688,328827.000,392886.031,440300.156,0.039,0.997,-0.052,-0.488,-1.160,1.648,73.333,101.000,1.000
700780.875,625959.938,716941.562,716963.375,716615.812,328737.656,391959.500,439217.781,0.041,0.997,-0.052,-0.427,-1.068,1.617,73.333,102.000,1.000
698749.438,624499.625,716453.562,716475.750,716128.312,328536.062,390972.188,437957.594,0.041,0.996,-0.052,-0.305,-1.007,1.709,73.333,103.000,1.000
696060.250,622528.188,715932.688,715954.500,715607.312,328011.969,389526.906,436449.312,0.040,0.994,-0.050,-0.305,-0.885,1.678,73.333,104.000,1.000
693106.688,620306.000,715438.625,715460.125,715113.500,327434.750,387915.781,435021.125,0.040,0.992,-0.051,-0.214,-0.854,1.740,73.333,105.000,1.000
690725.188,618501.312,715025.750,715047.250,714700.750,327162.219,386713.375,433948.781,0.043,0.992,-0.050,-0.122,-0.763,1.770,73.333,106.000,1.000
688988.438,617237.125,714659.125,714680.500,714333.688,327134.875,385949.812,433040.312,0.043,0.992,-0.053,-0.061,-0.580,1.831,73.333,107.000,1.000
687129.375,615957.938,714269.000,714290.625,713943.562,326984.500,385111.906,431936.656,0.041,0.991,-0.050,0.061,-0.458,1.801,73.333,108.000,1.000
684800.188,614147.812,713834.750,713856.438,713510.562,326503.125,383800.750,430564.719,0.040,0.993,-0.051,0.153,-0.488,1.831,73.333,109.000,1.000
682270.312,612072.688,713426.688,713448.375,713103.000,325970.344,382323.750,429272.781,0.042,0.994,-0.049,0.122,-0.397,1.892,73.333,110.000,1.000
680281.875,610403.438,713096.750,713118.125,712773.000,325739.938,381245.938,428330.156,0.042,0.996,-0.051,0.153,-0.336,1.892,73.333,111.000,1.000
678941.500,609281.375,712809.750,712831.438,712486.312,325758.719,380604.438,427552.938,0.043,0.996,-0.049,0.153,-0.122,1.862,73.333,112.000,1.000
677546.562,608182.562,712498.625,712520.375,712175.688,325667.719,379908.875,426597.719,0.041,0.996,-0.052,0.092,-0.031,1.862,73.333,113.000,1.000
