1652858608739,g,
1652858610447,b,c_0_Grip
1652858611454,2,c_0_Grip
1652858611570,-1,c_0_Grip
1652858611872,4,c_0_Grip
1652858611988,-1,c_0_Grip
1652858612305,3,c_0_Grip
1652858612421,-1,c_0_Grip
1652858612735,5,c_0_Grip
1652858612863,-1,c_0_Grip
1652858613180,1,c_0_Grip
1652858613296,-1,c_0_Grip
1652858613612,0,c_0_Grip
1652858613729,-1,c_0_Grip
1652858614746,4,c_0_Grip
1652858614873,-1,c_0_Grip
1652858615190,3,c_0_Grip
1652858615322,-1,c_0_Grip
1652858615639,2,c_0_Grip
1652858615756,-1,c_0_Grip
1652858616080,0,c_0_Grip
1652858616196,-1,c_0_Grip
1652858616498,1,c_0_Grip
1652858616610,-1,c_0_Grip
1652858616916,5,c_0_Grip
1652858617043,-1,c_0_Grip
1652858618063,3,c_0_Grip
1652858618168,-1,c_0_Grip
1652858618470,0,c_0_Grip
1652858618594,-1,c_0_Grip
1652858618896,1,c_0_Grip
1652858619012,-1,c_0_Grip
1652858619329,2,c_0_Grip
1652858619445,-1,c_0_Grip
1652858619762,4,c_0_Grip
1652858619874,-1,c_0_Grip
1652858620182,5,c_0_Grip
1652858620286,-1,c_0_Grip
1652858621306,4,c_0_Grip
1652858621422,-1,c_0_Grip
1652858621740,5,c_0_Grip
1652858621855,-1,c_0_Grip
1652858622189,1,c_0_Grip
1652858622312,-1,c_0_Grip
1652858622640,0,c_0_Grip
1652858622745,-1,c_0_Grip
1652858623062,2,c_0_Grip
1652858623178,-1,c_0_Grip
1652858623494,3,c_0_Grip
1652858623617,-1,c_0_Grip
1652858624639,1,c_0_Grip
1652858624754,-1,c_0_Grip
1652858625069,0,c_0_Grip
1652858625176,-1,c_0_Grip
1652858625492,3,c_0_Grip
1652858625608,-1,c_0_Grip
1652858625910,2,c_0_Grip
1652858626026,-1,c_0_Grip
1652858626335,5,c_0_Grip
1652858626440,-1,c_0_Grip
1652858626751,4,c_0_Grip
1652858626867,-1,c_0_Grip
1652858627889,4,c_0_Grip
1652858628005,-1,c_0_Grip
1652858628322,0,c_0_Grip
1652858628439,-1,c_0_Grip
1652858628755,2,c_0_Grip
1652858628878,-1,c_0_Grip
1652858629194,3,c_0_Grip
1652858629327,-1,c_0_Grip
1652858629629,1,c_0_Grip
1652858629744,-1,c_0_Grip
1652858630045,5,c_0_Grip
1652858630156,-1,c_0_Grip
1652858631189,2,c_0_Grip
1652858631305,-1,c_0_Grip
1652858631608,1,c_0_Grip
1652858631724,-1,c_0_Grip
1652858632027,3,c_0_Grip
1652858632138,-1,c_0_Grip
1652858632444,0,c_0_Grip
1652858632560,-1,c_0_Grip
